F5_SAMPLE_DESCRIPTION	F5 Sample Type	F5 CAGE Lib ID	F5 Sample Description
SMOOTH_MUSCLE_CELLS_CORONARY_ARTERY	primary_cell	CNhs12045#CNhs11987#CNhs11088	Smooth Muscle Cells - Coronary Artery, donor3#Smooth Muscle Cells - Coronary Artery, donor2#Smooth Muscle Cells - Coronary Artery, donor1
SMOOTH_MUSCLE_CELLS_CAROTID	primary_cell	CNhs12044#CNhs11087#CNhs11986	Smooth Muscle Cells - Carotid, donor3#Smooth Muscle Cells - Carotid, donor1#Smooth Muscle Cells - Carotid, donor2
SMOOTH_MUSCLE_CELLS_BRACHIOCEPHALIC	primary_cell	CNhs12043#CNhs11086#CNhs11985	Smooth Muscle Cells - Brachiocephalic, donor3#Smooth Muscle Cells - Brachiocephalic, donor1#Smooth Muscle Cells - Brachiocephalic, donor2
SMOOTH_MUSCLE_CELLS_BRAIN_VASCULAR	primary_cell	CNhs12004#CNhs11900#CNhs10863	Smooth Muscle Cells - Brain Vascular, donor3#Smooth Muscle Cells - Brain Vascular, donor2#Smooth Muscle Cells - Brain Vascular, donor1
SMOOTH_MUSCLE_CELLS_PULMONARY_ARTERY	primary_cell	CNhs11989#CNhs12047#CNhs11089	Smooth Muscle Cells - Pulmonary Artery, donor2#Smooth Muscle Cells - Pulmonary Artery, donor3#Smooth Muscle Cells - Pulmonary Artery, donor1
KERATINOCYTE_EPIDERMAL	primary_cell	CNhs12031#CNhs11381#CNhs11064	Keratinocyte - epidermal, donor3#Keratinocyte - epidermal, donor2#Keratinocyte - epidermal, donor1
KERATINOCYTE_ORAL	primary_cell	CNhs10879	Keratinocyte - oral, donor1
MACROPHAGE_MONOCYTE_DERIVED	primary_cell	CNhs12003#CNhs11899#CNhs10861	Macrophage - monocyte derived, donor3#Macrophage - monocyte derived, donor2#Macrophage - monocyte derived, donor1
SKELETAL_MUSCLE_CELLS	primary_cell	CNhs12060#CNhs12056#CNhs12053#CNhs11083#CNhs12040#CNhs11983	Skeletal Muscle Cells, donor6#Skeletal Muscle Cells, donor5#Skeletal Muscle Cells, donor4#Skeletal Muscle Cells, donor1#Skeletal Muscle Cells, donor3#Skeletal Muscle Cells, donor2
SKELETAL_MUSCLE_SATELLITE_CELLS	primary_cell	CNhs12008#CNhs11964#CNhs10869	Skeletal Muscle Satellite Cells, donor3#Skeletal Muscle Satellite Cells, donor2#Skeletal Muscle Satellite Cells, donor1
SKELETAL_MUSCLE_CELLS_DIFFERENTIATED_INTO_MYOTUBES_MULTINUCLEATED	primary_cell	CNhs11084#CNhs12041#CNhs11984	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1#Skeletal muscle cells differentiated into Myotubes - multinucleated, donor3#Skeletal muscle cells differentiated into Myotubes - multinucleated, donor2
HEPATOCYTE	primary_cell	CNhs12626#CNhs12349#CNhs12340	Hepatocyte, donor3#Hepatocyte, donor2#Hepatocyte, donor1
MELANOCYTE_DARK	primary_cell	CNhs12570#CNhs12346#CNhs12591	Melanocyte - dark, donor3#Melanocyte - dark, donor2#Melanocyte - dark, donor1
MELANOCYTE_LIGHT	primary_cell	CNhs12033#CNhs11383#CNhs11303	Melanocyte - light, donor3#Melanocyte - light, donor2#Melanocyte - light, donor1
CHONDROCYTE_RE_DIFF	primary_cell	CNhs12021#CNhs11373	Chondrocyte - re diff, donor3#Chondrocyte - re diff, donor2
CHONDROCYTE_DE_DIFF	primary_cell	CNhs12020#CNhs11372#CNhs11923	Chondrocyte - de diff, donor3#Chondrocyte - de diff, donor2#Chondrocyte - de diff, donor1
ADIPOCYTE_PERIRENAL	primary_cell	CNhs12069	Adipocyte - perirenal, donor1
ADIPOCYTE_OMENTAL	primary_cell	CNhs12068#CNhs12067#CNhs11054	Adipocyte - omental, donor3#Adipocyte - omental, donor2#Adipocyte - omental, donor1
ADIPOCYTE_SUBCUTANEOUS	primary_cell	CNhs12017#CNhs11371#CNhs12494	Adipocyte - subcutaneous, donor3#Adipocyte - subcutaneous, donor2#Adipocyte - subcutaneous, donor1
ADIPOCYTE_BREAST	primary_cell	CNhs11051#CNhs11969	Adipocyte - breast, donor1#Adipocyte - breast, donor2
CHORIONIC_MEMBRANE_CELLS	primary_cell	CNhs12380#CNhs12506#CNhs12504	chorionic membrane cells, donor3#chorionic membrane cells, donor2#chorionic membrane cells, donor1
AMNIOTIC_MEMBRANE_CELLS	primary_cell	CNhs12379#CNhs12503#CNhs12502	amniotic membrane cells, donor3#amniotic membrane cells, donor2#amniotic membrane cells, donor1
MESENCHYMAL_PRECURSOR_CELL_BONE_MARROW	primary_cell	CNhs13098#CNhs12367#CNhs12366	mesenchymal precursor cell - bone marrow, donor3#mesenchymal precursor cell - bone marrow, donor2#mesenchymal precursor cell - bone marrow, donor1
MESENCHYMAL_PRECURSOR_CELL_CARDIAC	primary_cell	CNhs12371#CNhs12370#CNhs12369#CNhs12368	mesenchymal precursor cell - cardiac, donor4#mesenchymal precursor cell - cardiac, donor3#mesenchymal precursor cell - cardiac, donor2#mesenchymal precursor cell - cardiac, donor1
MESENCHYMAL_PRECURSOR_CELL_ADIPOSE	primary_cell	CNhs12365#CNhs12364#CNhs12363	mesenchymal precursor cell - adipose, donor3#mesenchymal precursor cell - adipose, donor2#mesenchymal precursor cell - adipose, donor1
MESENCHYMAL_STEM_CELLS_UMBILICAL	primary_cell	CNhs12127#CNhs11347#CNhs12492#CNhs12102	Mesenchymal Stem Cells - umbilical, donor3#Mesenchymal Stem Cells - umbilical, donor1#Mesenchymal stem cells - umbilical, donor0#Mesenchymal Stem Cells - umbilical, donor2
MESENCHYMAL_STEM_CELLS_ADIPOSE	primary_cell	CNhs12922#CNhs11345#CNhs10844#CNhs12101	Mesenchymal Stem Cells - adipose, donor3#Mesenchymal Stem Cells - adipose, donor1#Mesenchymal stem cells - adipose, donor0#Mesenchymal Stem Cells - adipose, donor2
MESENCHYMAL_STEM_CELLS_BONE_MARROW	primary_cell	CNhs12126#CNhs12100#CNhs11344#CNhs11316	Mesenchymal Stem Cells - bone marrow, donor3#Mesenchymal Stem Cells - bone marrow, donor2#Mesenchymal Stem Cells - bone marrow, donor1#Mesenchymal Stem Cells - bone marrow, donor4
MULTIPOTENT_CORD_BLOOD_UNRESTRICTED_SOMATIC_STEM_CELLS	primary_cell	CNhs12105#CNhs11350	Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor2#Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor1
MESENCHYMAL_STEM_CELLS_AMNIOTIC_MEMBRANE	primary_cell	CNhs12104#CNhs11349	Mesenchymal Stem Cells - amniotic membrane, donor2#Mesenchymal Stem Cells - amniotic membrane, donor1
MESENCHYMAL_STEM_CELLS_HEPATIC	primary_cell	CNhs12730#CNhs10845#CNhs11346	Mesenchymal Stem Cells - hepatic, donor2#Mesenchymal stem cells - hepatic, donor0#Mesenchymal Stem Cells - hepatic, donor1
MESENCHYMAL_STEM_CELLS_WHARTON_S_JELLY	primary_cell	CNhs11057	Mesenchymal Stem Cells - Wharton's Jelly, donor1
ASTROCYTE_CEREBELLUM	primary_cell	CNhs12117#CNhs12081#CNhs11321	Astrocyte - cerebellum, donor3#Astrocyte - cerebellum, donor2#Astrocyte - cerebellum, donor1
ASTROCYTE_CEREBRAL_CORTEX	primary_cell	CNhs12005#CNhs11960#CNhs10864	Astrocyte - cerebral cortex, donor3#Astrocyte - cerebral cortex, donor2#Astrocyte - cerebral cortex, donor1
NASAL_EPITHELIAL_CELLS	primary_cell	CNhs12574#CNhs12589#CNhs12554	nasal epithelial cells, donor2#nasal epithelial cells, donor1, tech_rep1#nasal epithelial cells, donor1, tech_rep2
OLFACTORY_EPITHELIAL_CELLS	primary_cell	CNhs13819#CNhs13818#CNhs13817#CNhs13816	Olfactory epithelial cells, donor4#Olfactory epithelial cells, donor3#Olfactory epithelial cells, donor2#Olfactory epithelial cells, donor1
MAST_CELL	primary_cell	CNhs12592#CNhs12593#CNhs12594#CNhs12566#CNhs13927#CNhs13926#CNhs13925#CNhs13924	Mast cell, donor4#Mast cell, donor3#Mast cell, donor2#Mast cell, donor1#Mast cell, expanded and stimulated, donor8#Mast cell, expanded, donor8#Mast cell, expanded and stimulated, donor5#Mast cell, expanded, donor5
MAST_CELL_STIMULATED	primary_cell	CNhs11073	Mast cell - stimulated, donor1
CD4+CD25+CD45RA_MEMORY_REGULATORY_T_CELLS_EXPANDED	primary_cell	CNhs13812#CNhs13811#CNhs13204	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor3#CD4+CD25+CD45RA- memory regulatory T cells expanded, donor2#CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1
CD4+CD25_CD45RA+_NAIVE_CONVENTIONAL_T_CELLS_EXPANDED	primary_cell	CNhs13814#CNhs13813#CNhs13202	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor3#CD4+CD25-CD45RA+ naive conventional T cells expanded, donor2#CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1
CD4+CD25_CD45RA_MEMORY_CONVENTIONAL_T_CELLS	primary_cell	CNhs13539#CNhs13237#CNhs13239	CD4+CD25-CD45RA- memory conventional T cells, donor3#CD4+CD25-CD45RA- memory conventional T cells, donor2#CD4+CD25-CD45RA- memory conventional T cells, donor1
CD4+CD25+CD45RA_MEMORY_REGULATORY_T_CELLS	primary_cell	CNhs13538#CNhs13206#CNhs13195	CD4+CD25+CD45RA- memory regulatory T cells, donor3#CD4+CD25+CD45RA- memory regulatory T cells, donor2#CD4+CD25+CD45RA- memory regulatory T cells, donor1
CD4+CD25+CD45RA+_NAIVE_REGULATORY_T_CELLS	primary_cell	CNhs13513#CNhs13235#CNhs13238	CD4+CD25+CD45RA+ naive regulatory T cells, donor3#CD4+CD25+CD45RA+ naive regulatory T cells, donor2#CD4+CD25+CD45RA+ naive regulatory T cells, donor1
CD4+CD25_CD45RA+_NAIVE_CONVENTIONAL_T_CELLS	primary_cell	CNhs13512#CNhs13205#CNhs13223	CD4+CD25-CD45RA+ naive conventional T cells, donor3#CD4+CD25-CD45RA+ naive conventional T cells, donor2#CD4+CD25-CD45RA+ naive conventional T cells, donor1
CD4+CD25+CD45RA+_NAIVE_REGULATORY_T_CELLS_EXPANDED	primary_cell	CNhs13203#CNhs13919#CNhs13918	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1#CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor3#CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor2
CD4+CD25_CD45RA_MEMORY_CONVENTIONAL_T_CELLS_EXPANDED	primary_cell	CNhs13215#CNhs13921#CNhs13920	CD4+CD25-CD45RA- memory conventional T cells expanded, donor1#CD4+CD25-CD45RA- memory conventional T cells expanded, donor3#CD4+CD25-CD45RA- memory conventional T cells expanded, donor2
CD8+_T_CELLS	primary_cell	CNhs11999#CNhs11956#CNhs10854	CD8+ T Cells, donor3#CD8+ T Cells, donor2#CD8+ T Cells, donor1
CD4+_T_CELLS	primary_cell	CNhs11998#CNhs11955#CNhs10853	CD4+ T Cells, donor3#CD4+ T Cells, donor2#CD4+ T Cells, donor1
MESOTHELIAL_CELLS	primary_cell	CNhs12012#CNhs10850#CNhs12197	Mesothelial Cells, donor3#Mesothelial Cells, donor1#Mesothelial Cells, donor2
SERTOLI_CELLS	primary_cell	CNhs10851#CNhs11974	Sertoli Cells, donor1#Sertoli Cells, donor2
ENDOTHELIAL_CELLS_VEIN	primary_cell	CNhs12026#CNhs11377#CNhs12497	Endothelial Cells - Vein, donor3#Endothelial Cells - Vein, donor2#Endothelial Cells - Vein, donor1
ENDOTHELIAL_CELLS_MICROVASCULAR	primary_cell	CNhs12024#CNhs11376#CNhs11925	Endothelial Cells - Microvascular, donor3#Endothelial Cells - Microvascular, donor2#Endothelial Cells - Microvascular, donor1
ENDOTHELIAL_CELLS_ARTERY	primary_cell	CNhs12023#CNhs11977#CNhs12496	Endothelial Cells - Artery, donor3#Endothelial Cells - Artery, donor2#Endothelial Cells - Artery, donor1
ENDOTHELIAL_CELLS_AORTIC	primary_cell	CNhs12022#CNhs11375#CNhs12495#CNhs10837	Endothelial Cells - Aortic, donor3#Endothelial Cells - Aortic, donor2#Endothelial Cells - Aortic, donor1#Endothelial Cells - Aortic, donor0
ENDOTHELIAL_CELLS_UMBILICAL_VEIN	primary_cell	CNhs12010#CNhs11967#CNhs10872	Endothelial Cells - Umbilical vein, donor3#Endothelial Cells - Umbilical vein, donor2#Endothelial Cells - Umbilical vein, donor1
ENDOTHELIAL_CELLS_THORACIC	primary_cell	CNhs11978#CNhs11926	Endothelial Cells - Thoracic, donor2#Endothelial Cells - Thoracic, donor1
CILIARY_EPITHELIAL_CELLS	primary_cell	CNhs12009#CNhs11966#CNhs10871	Ciliary Epithelial Cells, donor3#Ciliary Epithelial Cells, donor2#Ciliary Epithelial Cells, donor1
OSTEOBLAST	primary_cell	CNhs12036#CNhs11385#CNhs11078	Osteoblast, donor3#Osteoblast, donor2#Osteoblast, donor1
OSTEOBLAST_DIFFERENTIATED	primary_cell	CNhs12035#CNhs11980#CNhs11311	Osteoblast - differentiated, donor3#Osteoblast - differentiated, donor2#Osteoblast - differentiated, donor1
MYOBLAST	primary_cell	CNhs11908#CNhs11965#CNhs10870	Myoblast, donor3#Myoblast, donor2#Myoblast, donor1
NEURAL_STEM_CELLS	primary_cell	CNhs11384#CNhs11063	Neural stem cells, donor2#Neural stem cells, donor1
EOSINOPHILS	primary_cell	CNhs12549#CNhs12548#CNhs12547	Eosinophils, donor3#Eosinophils, donor2#Eosinophils, donor1
MATURE_ADIPOCYTE	primary_cell	CNhs12562#CNhs12560#CNhs12559#CNhs12558	mature adipocyte, donor4#mature adipocyte, donor3#mature adipocyte, donor2#mature adipocyte, donor1
CD34+_STEM_CELLS_ADULT_BONE_MARROW_DERIVED	primary_cell	CNhs12588#CNhs12553	CD34+ stem cells - adult bone marrow derived, donor1, tech_rep1#CD34+ stem cells - adult bone marrow derived, donor1, tech_rep2
CD133+_STEM_CELLS_ADULT_BONE_MARROW_DERIVED	primary_cell	CNhs12552	CD133+ stem cells - adult bone marrow derived, pool1
CD133+_STEM_CELLS_CORD_BLOOD_DERIVED	primary_cell	CNhs12545	CD133+ stem cells - cord blood derived, pool1
CD19+_B_CELLS_PLURISELECT	primary_cell	CNhs12188#CNhs12185#CNhs12183#CNhs12181#CNhs12179#CNhs12177#CNhs12175#CNhs12531	CD19+ B Cells (pluriselect), donor090612, donation3#CD19+ B Cells (pluriselect), donor090612, donation2#CD19+ B Cells (pluriselect), donor090612, donation1#CD19+ B Cells (pluriselect), donor090309, donation3#CD19+ B Cells (pluriselect), donor090309, donation2#CD19+ B Cells (pluriselect), donor090309, donation1#CD19+ B Cells (pluriselect), donor090325, donation2#CD19+ B Cells (pluriselect), donor090325, donation1
CD8+_T_CELLS_PLURISELECT	primary_cell	CNhs12187#CNhs12184#CNhs12182#CNhs12180#CNhs12178#CNhs12176#CNhs12199#CNhs12201	CD8+ T Cells (pluriselect), donor090612, donation3#CD8+ T Cells (pluriselect), donor090612, donation2#CD8+ T Cells (pluriselect), donor090612, donation1#CD8+ T Cells (pluriselect), donor090309, donation3#CD8+ T Cells (pluriselect), donor090309, donation2#CD8+ T Cells (pluriselect), donor090309, donation1#CD8+ T Cells (pluriselect), donor090325, donation2#CD8+ T Cells (pluriselect), donor090325, donation1
NEUTROPHIL_PMN	primary_cell	CNhs12530#CNhs12526#CNhs12522	neutrophil PMN, donor3#neutrophil PMN, donor2#neutrophil PMN, donor1
PROMYELOCYTES_MYELOCYTES_PMC	primary_cell	CNhs12529#CNhs12525#CNhs12520	promyelocytes/myelocytes PMC, donor3#promyelocytes/myelocytes PMC, donor2#promyelocytes/myelocytes PMC, donor1
GRANULOCYTE_MACROPHAGE_PROGENITOR	primary_cell	CNhs12528#CNhs12524#CNhs12519	granulocyte macrophage progenitor, donor3#granulocyte macrophage progenitor, donor2#granulocyte macrophage progenitor, donor1
COMMON_MYELOID_PROGENITOR_CMP	primary_cell	CNhs12523#CNhs12518	common myeloid progenitor CMP, donor2#common myeloid progenitor CMP, donor1
SMOOTH_MUSCLE_CELLS_AIRWAY	primary_cell	CNhs14189#CNhs14188#CNhs14187#CNhs14186#CNhs14184#CNhs14183	Smooth muscle cells - airway, asthmatic, donor6#Smooth muscle cells - airway, asthmatic, donor5#Smooth muscle cells - airway, asthmatic, donor4#Smooth muscle cells - airway, asthmatic, donor3#Smooth muscle cells - airway, asthmatic, donor2#Smooth muscle cells - airway, asthmatic, donor1
GAMMA_DELTA_POSITIVE_T_CELLS	primary_cell	CNhs13915#CNhs13914	gamma delta positive T cells, donor2#gamma delta positive T cells, donor1
CD14+_MONOCYTES_TREATED_WITH_B_GLUCAN	primary_cell	CNhs13495#CNhs13489#CNhs13474	CD14+ monocytes - treated with B-glucan, donor3#CD14+ monocytes - treated with B-glucan, donor2#CD14+ monocytes - treated with B-glucan, donor1
CD14+_MONOCYTES_TREATED_WITH_CANDIDA	primary_cell	CNhs13494#CNhs13488#CNhs13473	CD14+ monocytes - treated with Candida, donor3#CD14+ monocytes - treated with Candida, donor2#CD14+ monocytes - treated with Candida, donor1
CD14+_MONOCYTES_TREATED_WITH_CRYPTOCOCCUS	primary_cell	CNhs13546#CNhs13487#CNhs13472	CD14+ monocytes - treated with Cryptococcus, donor3#CD14+ monocytes - treated with Cryptococcus, donor2#CD14+ monocytes - treated with Cryptococcus, donor1
CD14+_MONOCYTES_TREATED_WITH_SALMONELLA	primary_cell	CNhs13493#CNhs13485#CNhs13471	CD14+ monocytes - treated with Salmonella, donor3#CD14+ monocytes - treated with Salmonella, donor2#CD14+ monocytes - treated with Salmonella, donor1
CD14+_MONOCYTES_TREATED_WITH_LIPOPOLYSACCHARIDE	primary_cell	CNhs13545#CNhs13533#CNhs13470	CD14+ monocytes - treated with lipopolysaccharide, donor3#CD14+ monocytes - treated with lipopolysaccharide, donor2#CD14+ monocytes - treated with lipopolysaccharide, donor1
CD14+_MONOCYTES_TREATED_WITH_GROUP_A_STREPTOCOCCI	primary_cell	CNhs13492#CNhs13532#CNhs13469	CD14+ monocytes - treated with Group A streptococci, donor3#CD14+ monocytes - treated with Group A streptococci, donor2#CD14+ monocytes - treated with Group A streptococci, donor1
CD14+_MONOCYTES_TREATED_WITH_TREHALOSE_DIMYCOLATE_TDM	primary_cell	CNhs13544#CNhs13483#CNhs13467	CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor3#CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor2#CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor1
CD14+_MONOCYTES_TREATED_WITH_IFN_+_N_HEXANE	primary_cell	CNhs13490#CNhs13476#CNhs13466	CD14+ monocytes - treated with IFN + N-hexane, donor3#CD14+ monocytes - treated with IFN + N-hexane, donor2#CD14+ monocytes - treated with IFN + N-hexane, donor1
CD14+_MONOCYTES_TREATED_WITH_BCG	primary_cell	CNhs13543#CNhs13475#CNhs13465	CD14+ monocytes - treated with BCG, donor3#CD14+ monocytes - treated with BCG, donor2#CD14+ monocytes - treated with BCG, donor1
MESENCHYMAL_PRECURSOR_CELL_OVARIAN_CANCER_RIGHT_OVARY	primary_cell	CNhs13507#CNhs13096#CNhs12377#CNhs12375#CNhs12373	mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02-G)#mesenchymal precursor cell - ovarian cancer right ovary, donor4#mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02)#mesenchymal precursor cell - ovarian cancer right ovary, donor2#mesenchymal precursor cell - ovarian cancer right ovary, donor1
MESENCHYMAL_PRECURSOR_CELL_OVARIAN_CANCER_METASTASIS	primary_cell	CNhs13097#CNhs13093#CNhs12378#CNhs12374	mesenchymal precursor cell - ovarian cancer metastasis, donor4#mesenchymal precursor cell - ovarian cancer metastasis, donor2#mesenchymal precursor cell - ovarian cancer metastasis, donor3#mesenchymal precursor cell - ovarian cancer metastasis, donor1
MESENCHYMAL_PRECURSOR_CELL_OVARIAN_CANCER_LEFT_OVARY	primary_cell	CNhs13094#CNhs13092#CNhs12376#CNhs12372	mesenchymal precursor cell - ovarian cancer left ovary, donor4#mesenchymal precursor cell - ovarian cancer left ovary, donor2#mesenchymal precursor cell - ovarian cancer left ovary, donor3#mesenchymal precursor cell - ovarian cancer left ovary, donor1
FIBROBLAST_MAMMARY	primary_cell	CNhs12128#CNhs12103#CNhs11348	Fibroblast - Mammary, donor3#Fibroblast - Mammary, donor2#Fibroblast - Mammary, donor1
FIBROBLAST_VILLOUS_MESENCHYMAL	primary_cell	CNhs12920#CNhs12099#CNhs11343	Fibroblast - Villous Mesenchymal, donor3#Fibroblast - Villous Mesenchymal, donor2#Fibroblast - Villous Mesenchymal, donor1
SCHWANN_CELLS	primary_cell	CNhs12621#CNhs12345#CNhs12073	Schwann Cells, donor3#Schwann Cells, donor2#Schwann Cells, donor1
CD34+_PROGENITORS	primary_cell	CNhs12205#CNhs13227	CD34+ Progenitors, donor2#CD34+ Progenitors, donor1
PERINEURIAL_CELLS	primary_cell	CNhs12590#CNhs12587	Perineurial Cells, donor2#Perineurial Cells, donor1
SMOOTH_MUSCLE_CELLS_BLADDER	primary_cell	CNhs12893	Smooth Muscle Cells - Bladder, donor1
SMOOTH_MUSCLE_CELLS_INTESTINAL	primary_cell	CNhs12595	Smooth Muscle Cells - Intestinal, donor1
OLIGODENDROCYTE_PRECURSORS	primary_cell	CNhs12586	Oligodendrocyte - precursors, donor1
ANULUS_PULPOSUS_CELL	primary_cell	CNhs12064#CNhs10876	Anulus Pulposus Cell, donor2#Anulus Pulposus Cell, donor1
NUCLEUS_PULPOSUS_CELL	primary_cell	CNhs12063#CNhs12019#CNhs10881	Nucleus Pulposus Cell, donor3#Nucleus Pulposus Cell, donor2#Nucleus Pulposus Cell, donor1
FIBROBLAST_LUNG	primary_cell	CNhs12029#CNhs11380#CNhs12500	Fibroblast - Lung, donor3#Fibroblast - Lung, donor2#Fibroblast - Lung, donor1
PERIPHERAL_BLOOD_MONONUCLEAR_CELLS	primary_cell	CNhs12002#CNhs11958#CNhs10860	Peripheral Blood Mononuclear Cells, donor3#Peripheral Blood Mononuclear Cells, donor2#Peripheral Blood Mononuclear Cells, donor1
MESENCHYMAL_STEM_CELLS_VERTEBRAL	primary_cell	CNhs10846	Mesenchymal Stem Cells - Vertebral, donor1
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.1UG_UL_REPLICATE1	qualitycontrol	CNhs11665#CNhs12972	THP-1 standard 5000ng + ActinomycinD 0.1ug/uL replicate1#THP-1 standard 5000ng + ActinomycinD 0.1ug/uL replicate1
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.1UG_UL_REPLICATE2	qualitycontrol	CNhs11666#CNhs12973	THP-1 standard 5000ng + ActinomycinD 0.1ug/uL replicate2#THP-1 standard 5000ng + ActinomycinD 0.1ug/uL replicate2
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.2UG_UL_REPLICATE1	qualitycontrol	CNhs11667	THP-1 standard 5000ng + ActinomycinD 0.2ug/uL replicate1
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.2UG_UL_REPLICATE2	qualitycontrol	CNhs11669	THP-1 standard 5000ng + ActinomycinD 0.2ug/uL replicate2
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.4UG_UL_REPLICATE1	qualitycontrol	CNhs11670	THP-1 standard 5000ng + ActinomycinD 0.4ug/uL replicate1
THP_1_STANDARD_5000NG_+_ACTINOMYCIND_0.4UG_UL_REPLICATE2	qualitycontrol	CNhs11674	THP-1 standard 5000ng + ActinomycinD 0.4ug/uL replicate2
THP_1_STANDARD_5000NG_NOT_REPURIFIED_REPLICATE1	qualitycontrol	CNhs12978	THP-1 standard 5000ng not repurified replicate1
THP_1_STANDARD_5000NG_NOT_REPURIFIED_REPLICATE2	qualitycontrol	CNhs12979	THP-1 standard 5000ng not repurified replicate2
THP_1_STANDARD_5000NG_PNK_THEN_TEX_TREATED_+_ACTINOMYCIND_0.1UG_UL_REPLICATE1	qualitycontrol	CNhs12976	THP-1 standard 5000ng PNK then TEX treated + ActinomycinD 0.1ug/uL replicate1
THP_1_STANDARD_5000NG_PNK_THEN_TEX_TREATED_+_ACTINOMYCIND_0.1UG_UL_REPLICATE2	qualitycontrol	CNhs12977	THP-1 standard 5000ng PNK then TEX treated + ActinomycinD 0.1ug/uL replicate2
THP_1_STANDARD_5000NG_PNK_THEN_TEX_TREATED_REPLICATE1	qualitycontrol	CNhs12970	THP-1 standard 5000ng PNK then TEX treated replicate1
THP_1_STANDARD_5000NG_PNK_THEN_TEX_TREATED_REPLICATE2	qualitycontrol	CNhs12971	THP-1 standard 5000ng PNK then TEX treated replicate2
THP_1_STANDARD_5000NG_PNK_TREATED_REPLICATE1	qualitycontrol	CNhs12968	THP-1 standard 5000ng PNK treated replicate1
THP_1_STANDARD_5000NG_PNK_TREATED_REPLICATE2	qualitycontrol	CNhs12969	THP-1 standard 5000ng PNK treated replicate2
THP_1_STANDARD_5000NG_REPLICATE1	qualitycontrol	CNhs11678	THP-1 standard 5000ng replicate1
THP_1_STANDARD_5000NG_REPLICATE2	qualitycontrol	CNhs11679	THP-1 standard 5000ng replicate2
THP_1_STANDARD_5000NG_REPURIFIED_REPLICATE1	qualitycontrol	CNhs12964	THP-1 standard 5000ng repurified replicate1
THP_1_STANDARD_5000NG_REPURIFIED_REPLICATE2	qualitycontrol	CNhs12965	THP-1 standard 5000ng repurified replicate2
THP_1_STANDARD_5000NG_TEX_TREATED_+_ACTINOMYCIND_0.1UG_UL_REPLICATE1	qualitycontrol	CNhs12974	THP-1 standard 5000ng TEX treated + ActinomycinD 0.1ug/uL replicate1
THP_1_STANDARD_5000NG_TEX_TREATED_+_ACTINOMYCIND_0.1UG_UL_REPLICATE2	qualitycontrol	CNhs12975	THP-1 standard 5000ng TEX treated + ActinomycinD 0.1ug/uL replicate2
THP_1_STANDARD_5000NG_TEX_TREATED_REPLICATE1	qualitycontrol	CNhs12966	THP-1 standard 5000ng TEX treated replicate1
THP_1_STANDARD_5000NG_TEX_TREATED_REPLICATE2	qualitycontrol	CNhs12967	THP-1 standard 5000ng TEX treated replicate2
HIPS_+CCL2	timecourse	CNhs14219#CNhs14218#CNhs14217	hIPS +CCl2, biol_rep3#hIPS +CCl2, biol_rep2#hIPS +CCl2, biol_rep1
HIPS	timecourse	CNhs14216#CNhs14215#CNhs14214	hIPS, biol_rep3#hIPS, biol_rep2#hIPS, biol_rep1
